# english	ja-JP
%changeType% - The type of change (Changed, Created, Deleted)	%changeType% - 変更の種類（変更、作成、削除）
%counter% - Global usage counter for reward	%counter% - リワードのグローバル使用カウンター
%empty% - If the file is now empty	%empty% - ファイルが空になったかどうか
%fileName% - The file name with extension	%fileName% - 拡張子付きのファイル名
%fullPath% - The full path to the file	%fullPath% - ファイルのフルパス
%line#% - The specifc line of the file, 0 based index, 0 is the first line	%line#% - ファイルの特定の行（0ベース、0が最初の行）
%lineEscaped#% - The line escaped for use in a url query	%lineEscaped#% - URLクエリ用にエスケープされた行
%lines% - The number of lines in the file	%lines% - ファイルの行数
%randomUser0% - Random active user's display name	%randomUser0% - ランダムなアクティブユーザーの表示名
%randomUser1% - Random active user's display name	%randomUser1% - ランダムなアクティブユーザーの表示名
%randomUserName0% - Random active user's login name	%randomUserName0% - ランダムなアクティブユーザーのログイン名
%randomUserName1% - Random active user's login name	%randomUserName1% - ランダムなアクティブユーザーのログイン名
%rawInput% - UNSANITIZED input from redemption	%rawInput% - リデンプションからの未サニタイズ入力
%timedoutUser0% - Timed out user's display name	%timedoutUser0% - タイムアウトしたユーザーの表示名
%timedoutUserName0% - Timed out user's login name	%timedoutUserName0% - タイムアウトしたユーザーのログイン名
%user% - Display name of User who used reward	%user% - リワードを使用したユーザーの表示名
%userCounter% - Usage counter for user who used reward	%userCounter% - リワードを使用したユーザーの使用カウンター
%userName% - Login of user who used reward	%userName% - リワードを使用したユーザーのログイン名
This labs feature will, on close, write to a database any outstanding pending actions, pending actions are actions that have not yet run, and are waiting to run, either because they're in a blocking queue, or a queue that is paused.	このラボ機能は、終了時に未処理の保留中アクションをデータベースに書き込みます。保留中アクションはまだ実行されておらず、ブロッキングキューまたは一時停止中のキューにあるため実行を待っているアクションです。
This requires the Enable MCP Deck to be checked in your Stream Deck preferences.	これには、Stream Deck の設定で Enable MCP Deck がチェックされている必要があります。
This sub-action requires the `Hybrid MP4 [BETA](.mp4)` recording format to be selected within OBS.	このサブアクションには、OBS 内で `Hybrid MP4 [BETA](.mp4)` 録画形式を選択する必要があります。
This will allow you to start a raid to the user login that is specified in the above text box. Variables are supported.	上のテキストボックスで指定されたユーザーログインへのレイドを開始できます。変数に対応。
This will hide all filters for a given source that are currently visible.	指定されたソースの現在表示されているすべてのフィルターを非表示にします。
This will hide all sources within a group that are currently visible.	グループ内の現在表示されているすべてのソースを非表示にします。
This will hide all sources within a scene that are currently visible.	シーン内の現在表示されているすべてのソースを非表示にします。
This will make the scene your active scene in OBS Studio	このシーンを OBS Studio のアクティブシーンにします
This will make the scene your active scene in Streamlabs Desktop	このシーンを Streamlabs Desktop のアクティブシーンにします
This will only show Execute C# Code subactions that have a name.	名前のある Execute C# Code サブアクションのみ表示します。
This will pick a random filter within the selected source and make it visible or hidden, or toggle its state.	選択したソース内のランダムなフィルターを選び、表示/非表示にするか、状態を切り替えます。
This will pick a random source within the selected group and make it visible, if all items are visible, it will do nothing.	選択したグループ内のランダムなソースを選んで表示します。すべてのアイテムが表示されている場合は何もしません。
This will pick a random source within the selected scene and make it visible, if all items are visible, it will do nothing.	選択したシーン内のランダムなソースを選んで表示します。すべてのアイテムが表示されている場合は何もしません。
This will prevent the Variable Viewer window from appearing in any form of window/screen capturing	変数ビューアーウィンドウがウィンドウ/スクリーンキャプチャに表示されないようにします
This will rotate your source around its alignment position.  By default OBS sets this to TopLeft, ideally you want this set to Center, this can be changed by editing your source's transform in OBS	ソースをアライメント位置を中心に回転させます。デフォルトでは OBS が TopLeft に設定しますが、理想的には Center に設定することをお勧めします。OBS でソースのトランスフォームを編集して変更できます
This will rotate your source around its alignment position.  By default this is TopLeft, ideally you want this set to Center, this can be changed by editing your source's transform in Streamlabs Desktop	ソースをアライメント位置を中心に回転させます。デフォルトでは TopLeft ですが、理想的には Center に設定することをお勧めします。Streamlabs Desktop でソースのトランスフォームを編集して変更できます
Throwing System	Throwing System
Time in Seconds (double, required)	時間（秒、double、必須）
Timed Actions ({0})	タイマーアクション（{0}）
Timed actions can have either an interval set, where they will occur every X seconds, or a line count set, where they will occur every Y lines.	タイマーアクションは間隔（X 秒ごとに発生）か行数（Y 行ごとに発生）を設定できます。
Timeout Exempt	タイムアウト免除
Tint All	すべてに色合いを適用
Title (required)	タイトル（必須）
Title, Prompt and Original Text all support variables.	タイトル、プロンプト、元のテキストはすべて変数に対応しています。
To not set a value for any of the options,, just leave the field empty	オプションに値を設定しない場合は、フィールドを空のままにしてください
Toast Id	トースト ID
Track Top	トップを追跡
Trigger	トリガー
Trigger Name	トリガー名
Twitch Bot Whisper	Twitch Bot ウィスパー
Twitch Custom Power-Ups are a beta feature that not everyone has access to.	Twitch カスタムパワーアップは、誰もが利用できるわけではないベータ機能です。
Twitch Message	Twitch メッセージ
Twitch Resubscription Message	Twitch 再購読メッセージ
Twitch Shared Chat	Twitch 共有チャット
Twitch Whisper	Twitch ウィスパー
Twitch is not Connected	Twitch が接続されていません
Type	タイプ
UCD	UCD
UDP Port	UDP ポート
UDP Server	UDP サーバー
Until stream ends	配信終了まで
Up to Date	最新
Update All Actions To Use Default	すべてのアクションをデフォルト使用に更新
Update Available	アップデートあり
Update Available!	アップデートあり！
Update Interval	更新間隔
Updating your YouTube stream information is an expensive call, please use this sparingly.	YouTube 配信情報の更新はコストの高い呼び出しです。控えめに使用してください。
Use Args	引数を使用
Use Filename	ファイル名を使用
Use Monaco Editor	Monaco エディターを使用
Use System Default	システムデフォルトを使用
Use the System Default audio device when the selected device above is not found	上の選択したデバイスが見つからない場合、システムデフォルトの音声デバイスを使用
Use the feature rich Monaco Editor for editing your C# code	C# コードの編集には高機能な Monaco エディターを使用
Use the variable that contains the Id, for example %msgId%	Id を含む変数を使用。例：%msgId%
User Cooldown	ユーザークールダウン
User ID	ユーザー ID
User Id	ユーザー ID
User Information	ユーザー情報
User Input Required	ユーザー入力が必要
User Interface	ユーザーインターフェース
User Login	ユーザーログイン
User Name	ユーザー名
User Present (spoke)	ユーザーが参加（発言）
Username	ユーザー名
Using this you can send a UDP broadcast packet which will contain the data you enter in payload.	これを使用すると、ペイロードに入力したデータを含む UDP ブロードキャストパケットを送信できます。
VTube Studio is Not Connected!	VTube Studio が接続されていません！
Value	値
Variable Masking	変数マスキング
Variable Name	変数名
Variable Name or Value can be a fixed value, or a parsed value, using variables and/or inline functions	変数名または値は固定値か、変数やインライン関数を使用したパース値にできます
Variable Name to Use (if empty, fileExists is used)	使用する変数名（空の場合は fileExists が使用されます）
Variable Name to Use (if empty, folderExists is used)	使用する変数名（空の場合は folderExists が使用されます）
Variable Name to Use (if empty, line is used)	使用する変数名（空の場合は line が使用されます）
Variable Prefix	変数プレフィックス
Variable Value	変数値
Variables	変数
Variables that contain these words will have their values masked with * in the following areas:	これらの単語を含む変数の値は、以下の領域で * にマスクされます：
Vendor Name	ベンダー名
Video Enabled (boolean)	ビデオ有効（ブール値）
Video Name	ビデオ名
Video Name can be a fixed value or a parsed value using variables and/or inline functions.	ビデオ名は固定値か、変数やインライン関数を使用したパース値にできます。
View Count	視聴回数
View Notes	メモを表示
View a list of what Voice Control has been hearing	音声コントロールが聞き取った内容のリストを表示
View and modify your streaming platform settings	配信プラットフォームの設定を表示・変更
Viewers	視聴者
Viewers Tab	視聴者タブ
Voice Alias	音声エイリアス
Voice Control	音声コントロール
Voice Control related settings	音声コントロール関連の設定
Voice ID	音声 ID
Voice Name	音声名
Voice Name can be a fixed value or a parsed value using variables and/or inline functions.	音声名は固定値か、変数やインライン関数を使用したパース値にできます。
VoiceId can be a fixed value or a parsed value using variables and/or inline functions.	VoiceId は固定値か、変数やインライン関数を使用したパース値にできます。
VoiceMod is Not Connected!	VoiceMod が接続されていません！
Volume (number)	音量（数値）
Wait maximum	最大待機時間
Want to try out experimental features, can enable them here	実験的な機能を試したい場合は、ここで有効にできます
WebSocket Server	WebSocket サーバー
Websocket Client	WebSocket クライアント
Websocket Clients	WebSocket クライアント
Websocket Clients ({0})	WebSocket クライアント（{0}）
Websocket Server	WebSocket サーバー
Websocket Servers ({0})	WebSocket サーバー（{0}）
Weight can be a fixed value, or a parsed value, using variables and/or inline functions, and the resulting value needs to be a double or number	重みは固定値か、変数やインライン関数を使用したパース値にでき、結果の値は double または数値である必要があります
Weighted Value	重み付き値
Wether or not to enforce authentication for all requests, or just priviledged	すべてのリクエストに認証を強制するか、特権リクエストのみにするか
What sources are enabled by default	デフォルトで有効なソース
When Streamer.bot is started, if this cache file is present, it will auto load in any actions that have been cached, as well as pause the queue that they belong to. In addition, an argument will be added, wasCached, this will be set to true; during normal operation, this variable will not exist.	Streamer.bot が起動されたとき、このキャッシュファイルが存在する場合、キャッシュされたアクションを自動的に読み込み、属するキューを一時停止します。さらに、wasCached という引数が追加され true に設定されます。通常の動作中はこの変数は存在しません。
When a Live broadcast is detected automatically start monitoring it	ライブ配信が検出されたら自動的に監視を開始
When adding an If/Else SubAction, two groups, called True Result and False Result, will automatically be added underneath the SubAction.	If/Else サブアクションを追加すると、True Result と False Result という2つのグループがサブアクションの下に自動的に追加されます。
When closing Streamer.bot, ask if you really meant to close it	Streamer.bot を閉じるときに、本当に閉じるかどうかを確認
When closing Streamer.bot, it will goto the Tray Icons, using close in the Tray Menu will close Streamer.bot	Streamer.bot を閉じるとトレイアイコンに移動します。トレイメニューの閉じるで Streamer.bot を終了します
When enabled, actions in this queue will be run in sequence, each action waits for the previous one to complete before running.	有効にすると、このキューのアクションは順番に実行され、各アクションは前のアクションの完了を待ってから実行されます。
When enabled, if queued in a queue that is paused, this action will ignore that pause state and immediately run.	有効にすると、一時停止中のキューにキューイングされても、このアクションは一時停止状態を無視してすぐに実行されます。
When enabled, will prevent this action from showing in the Action Queue Pending/History tabs, this should be enabled for Actions that have high volume Triggers on them.	有効にすると、このアクションはアクションキューの保留中/履歴タブに表示されません。高頻度トリガーのあるアクションでは有効にしてください。
When enabled, will run a random top-level sub-action.	有効にすると、ランダムなトップレベルサブアクションを実行します。
When enabled, will run all top-level sub-actions at the same time.	有効にすると、すべてのトップレベルサブアクションを同時に実行します。
When minimizing Streamer.bot, it will goto the Tray Icons	Streamer.bot を最小化するとトレイアイコンに移動します
When random type is Next Float, a decimal number (upto 17 decimal precision) will be picked and added to the arguments as %randomFloat%, this number will also be added as a percentage value (with no decimals) as %randomPercent%	ランダムタイプが Next Float の場合、小数（17桁の精度まで）が選ばれ %randomFloat% として引数に追加されます。この数値は %randomPercent% としてパーセント値（小数なし）にも追加されます
When random type is between, a number between the 2 values you set will be added into the arguments at %randomNumber%	ランダムタイプが between の場合、設定した2つの値の間の数値が %randomNumber% として引数に追加されます
When starting Streamer.bot, the Chat window will automatically open	Streamer.bot を起動すると、チャットウィンドウが自動的に開きます
When starting Streamer.bot, the Event Feed window will automatically open	Streamer.bot を起動すると、イベントフィードウィンドウが自動的に開きます
Where to add a duplicated sub-action	複製したサブアクションの追加先
Whether or not shared chat will be able to participate in creating/breaking Pyramids	共有チャットがピラミッドの作成/破壊に参加できるかどうか
Whether or not the Action is enabled	アクションが有効かどうか
Whether or not the WebSocket server requires authentication to connect	WebSocket サーバーが接続に認証を必要とするかどうか
Whether or not the command is case sensitive	コマンドが大文字小文字を区別するかどうか
Whether or not this action, when queued will always run, regardless if the queue is paused	このアクションがキューイングされたとき、キューの一時停止状態に関係なく常に実行されるかどうか
Whether or not to exclude the action from appearing in the Action Queue or Action History pages	アクションをアクションキューまたはアクション履歴ページに表示しないかどうか
Whether or not to ignore Gift Subs from Gift Bombs	Gift Bombs からのギフトサブを無視するかどうか
Whether or not to ignore messages that come from the logged in bot account for the service	サービスにログインしている Bot アカウントからのメッセージを無視するかどうか
Whether or not to ignore messages that originate from Streamer.bot	Streamer.bot 発信のメッセージを無視するかどうか
Whether or not to include the command in the command list sub-action	コマンドをコマンドリストサブアクションに含めるかどうか
Whether or not to include your authentication keys in the backup	バックアップに認証キーを含めるかどうか
Whether or not to log any speech to text dication	音声認識のディクテーションをログに記録するかどうか
Whether or not to pick a random top level sub-actions to only run	ランダムなトップレベルサブアクションのみ実行するかどうか
Whether or not to save counters to disk	カウンターをディスクに保存するかどうか
Whether or not to save user counters to disk	ユーザーカウンターをディスクに保存するかどうか
Whether or not to the switch case should be case sensitive	スイッチケースが大文字小文字を区別するかどうか
Whether or not to use realtime data from Twitch, or artificial data	Twitch からのリアルタイムデータを使用するか、人工データを使用するか
Whether or not top level sub-actions run concurrently	トップレベルサブアクションが同時に実行されるかどうか
Whether to handle BetterTTV emotes	BetterTTV の絵文字を処理するかどうか
Whether to handle FrankerFaceZ emotes	FrankerFaceZ の絵文字を処理するかどうか
Whether to handle Seven TV emotes	Seven TV の絵文字を処理するかどうか
White Balance	ホワイトバランス
White Balance Tint	ホワイトバランスの色合い
Why donate?	なぜ寄付するの？
Will reset all delete confirmations so they are asked again when deleting items	すべての削除確認をリセットし、アイテム削除時に再度確認されるようにします
Will reset the integrations tab back to original	統合タブを元に戻します
Will reset the navigation panel to default, a restart is required	ナビゲーションパネルをデフォルトにリセットします。再起動が必要です
Window Options	ウィンドウオプション
Winning Index	勝者インデックス
Working Directory	作業ディレクトリ
You are currently not subscribed to Patreon, subscribe on Patreon to the Thank You tier or higher and get access to Cloud Backups and more!	現在 Patreon にサブスクリプションしていません。Patreon で Thank You ティア以上にサブスクライブすると、クラウドバックアップなどにアクセスできます！
You can add multiple Case groups under the Switch SubAction, and order matters.	Switch サブアクションの下に複数の Case グループを追加でき、順序が重要です。
You can either set a static description, and/or use variables to set a description.	静的説明を設定するか、変数を使用して説明を設定できます。
You can either set a static title, and/or use variables to set a title	静的タイトルを設定するか、変数を使用してタイトルを設定できます
You can either set a static title, and/or use variables to set a title.	静的タイトルを設定するか、変数を使用してタイトルを設定できます。
You can either set a static title/description, and/or use variables to set a title/description.	静的タイトル/説明を設定するか、変数を使用してタイトル/説明を設定できます。
You can enter a %variable% in either field, or a number.  The value is in milliseconds.	どちらかのフィールドに %variable% か数値を入力できます。値はミリ秒です。
You can get the ButtonID from the StreamDeck Application, and Image/State supports variables. State is optional	ButtonID は StreamDeck アプリケーションから取得できます。Image/State は変数に対応しています。State は任意です
You can get the ButtonID from the StreamDeck Application, and State supports variables.	ButtonID は StreamDeck アプリケーションから取得できます。State は変数に対応しています。
You can get the ButtonID from the StreamDeck Application, and Title/State supports variables.  State is optional.	ButtonID は StreamDeck アプリケーションから取得できます。Title/State は変数に対応しています。State は任意です。
You can get the ButtonID from the StreamDeck Application, and Value supports variables.	ButtonID は StreamDeck アプリケーションから取得できます。Value は変数に対応しています。
You can get the ButtonID from the StreamDeck Application.	ButtonID は StreamDeck アプリケーションから取得できます。
You can set the status of a redemption using this action, and the usual caveat, the reward must have been created by CPH for it to modify the status of redemptions.	このアクションでリデンプションのステータスを設定できます。通常の注意事項として、リデンプションのステータスを変更するには、リワードが CPH によって作成されている必要があります。
You can specify a default value to use if the variable is not found, if a default value is set, and the variable is not found, it will also set the variable to this value	変数が見つからない場合に使用するデフォルト値を指定できます。デフォルト値が設定され、変数が見つからない場合、変数もこの値に設定されます
You can use the above entry for variables, or set a specific category, change the Source to pick from Kick's category list	上の入力に変数を使用するか、特定のカテゴリを設定して、Source を Kick のカテゴリリストから選択するように変更できます
You can use the above entry for variables, or set a specific game, change the Source to pick from Twitch's list	上の入力に変数を使用するか、特定のゲームを設定して、Source を Twitch のリストから選択するように変更できます
You can use variable in the text, for example, %targetUser% to set the text to the target's name, if an Add Target Info action exists in the actions.	テキストに変数を使用できます。例えば %targetUser% でテキストをターゲットの名前に設定します。アクションに Add Target Info アクションが存在する場合です。
You can use variables in the source, for example %targetUserProfileImageUrl% if you want the browser source set to the target user's profile image, if an Add Target info action is in the actions.	ソースに変数を使用できます。例えば %targetUserProfileImageUrl% でブラウザソースをターゲットユーザーのプロフィール画像に設定します。アクションに Add Target info アクションが存在する場合です。
You can use variables in the source, for example %targetUserProfileImageUrl% if you want the image or media source set to the target user's profile image, if an Add Target info action is in the actions.	ソースに変数を使用できます。例えば %targetUserProfileImageUrl% で画像またはメディアソースをターゲットユーザーのプロフィール画像に設定します。アクションに Add Target info アクションが存在する場合です。
You can use variables, or a fixed value, including nothing to set a description for the stream marker.	変数または固定値を使用して、配信マーカーの説明を設定できます（何もなしを含む）。
YouTube Message	YouTube メッセージ
Your Kick account is linked on Streamer.bot	Kick アカウントが Streamer.bot にリンクされています
Your Kick connection on the website has expired, this is required, click here to reconnect	ウェブサイトの Kick 接続が期限切れです。これは必須です。再接続するにはここをクリック
Your YouTube broadcasts	あなたの YouTube 配信
Your stream, your rules—made better with Streamer.bot	あなたの配信、あなたのルール—Streamer.bot でさらに良く
Your support helps keep Streamer.bot free for everyone, and shows your appreciation for the hard work that goes into maintaining and improving the application.	あなたのサポートは Streamer.bot を全員に無料で提供し続け、アプリの維持と改善に注がれる努力への感謝を示します。
Your support helps maintain continued development and ongoing improvements to Streamer.bot, ensuring it remains a powerful tool for streamers like you.	あなたのサポートは Streamer.bot の継続的な開発と改善を維持し、あなたのような配信者にとって強力なツールであり続けることを確実にします。
channel points	チャンネルポイント
on the	以下で：
per Stream	配信ごと
per User per Stream	ユーザー・配信ごと
raids,	レイド、
seconds for exit	終了までの秒数
set to 0 to disable	0 に設定すると無効
tier or higher on Patreon.	Patreon の上位ティア以上。
total viewers	総視聴者数
website.	ウェブサイト。
{0} ({1})	{0}（{1}）
{0} Supporter	{0} サポーター
{0} is NOT connected!	{0} が接続されていません！
{0} minute(s)	{0} 分
