# english	chinese
%changeType% - The type of change (Changed, Created, Deleted)	%changeType% - 变更的类型（Changed、Created、Deleted）
%counter% - Global usage counter for reward	%counter% - 奖励的全局使用计数器
%empty% - If the file is now empty	%empty% - 文件现在是否为空
%fileName% - The file name with extension	%fileName% - 带扩展名的文件名
%fullPath% - The full path to the file	%fullPath% - 文件的完整路径
%line#% - The specifc line of the file, 0 based index, 0 is the first line	%line#% - 文件的特定行，从 0 开始的索引，0 为第一行
%lineEscaped#% - The line escaped for use in a url query	%lineEscaped#% - 已转义用于 URL 查询的行
%lines% - The number of lines in the file	%lines% - 文件的行数
%randomUser0% - Random active user's display name	%randomUser0% - 随机活跃用户的显示名称
%randomUser1% - Random active user's display name	%randomUser1% - 随机活跃用户的显示名称
%randomUserName0% - Random active user's login name	%randomUserName0% - 随机活跃用户的登录名
%randomUserName1% - Random active user's login name	%randomUserName1% - 随机活跃用户的登录名
%rawInput% - UNSANITIZED input from redemption	%rawInput% - 来自兑换的未净化输入
%timedoutUser0% - Timed out user's display name	%timedoutUser0% - 被超时用户的显示名称
%timedoutUserName0% - Timed out user's login name	%timedoutUserName0% - 被超时用户的登录名
%user% - Display name of User who used reward	%user% - 使用奖励的用户的显示名称
%userCounter% - Usage counter for user who used reward	%userCounter% - 使用奖励的用户的计数器
%userName% - Login of user who used reward	%userName% - 使用奖励的用户的登录名
Want to try out experimental features, can enable them here	想试用实验性功能，可在此启用
WebSocket Server	WebSocket 服务器
Websocket Client	WebSocket 客户端
Websocket Clients	WebSocket 客户端
Websocket Clients ({0})	WebSocket 客户端（{0}）
Websocket Server	WebSocket 服务器
Websocket Servers ({0})	WebSocket 服务器（{0}）
Weight can be a fixed value, or a parsed value, using variables and/or inline functions, and the resulting value needs to be a double or number	权重可以是固定值，也可以是使用变量和/或内联函数解析的值，结果值需为双精度或数字
Weighted Value	加权值
Wether or not to enforce authentication for all requests, or just priviledged	是否对所有请求强制执行认证，还是仅对特权请求
What sources are enabled by default	默认启用哪些来源
When Streamer.bot is started, if this cache file is present, it will auto load in any actions that have been cached, as well as pause the queue that they belong to. In addition, an argument will be added, wasCached, this will be set to true; during normal operation, this variable will not exist.	当 Streamer.bot 启动时，如果此缓存文件存在，它将自动加载所有已缓存的动作，并暂停它们所属的队列。此外，还会添加一个参数 wasCached，它将被设为 true；在正常操作期间，此变量将不存在。
When a Live broadcast is detected automatically start monitoring it	检测到直播时自动开始监控
When adding an If/Else SubAction, two groups, called True Result and False Result, will automatically be added underneath the SubAction.	添加 If/Else 子动作时，会自动在该子动作下方添加两个分组，分别称为“真结果”和“假结果”。
When closing Streamer.bot, ask if you really meant to close it	关闭 Streamer.bot 时，询问你是否真的要关闭它
When closing Streamer.bot, it will goto the Tray Icons, using close in the Tray Menu will close Streamer.bot	关闭 Streamer.bot 时，它将转到托盘图标；在托盘菜单中使用“关闭”才会真正关闭 Streamer.bot
When enabled, actions in this queue will be run in sequence, each action waits for the previous one to complete before running.	启用后，此队列中的动作将按顺序运行，每个动作都会等待前一个动作完成后再运行。
When enabled, if queued in a queue that is paused, this action will ignore that pause state and immediately run.	启用后，如果动作被加入到一个已暂停的队列中，该动作将忽略暂停状态并立即运行。
When enabled, will prevent this action from showing in the Action Queue Pending/History tabs, this should be enabled for Actions that have high volume Triggers on them.	启用后，将阻止此动作显示在动作队列的“待处理/历史”选项卡中；对于有高流量触发器的动作，应启用此选项。
When enabled, will run a random top-level sub-action.	启用后，将运行一个随机的高级子动作。
When enabled, will run all top-level sub-actions at the same time.	启用后，将同时运行所有高级子动作。
When minimizing Streamer.bot, it will goto the Tray Icons	最小化 Streamer.bot 时，它将转到托盘图标
When random type is Next Float, a decimal number (upto 17 decimal precision) will be picked and added to the arguments as %randomFloat%, this number will also be added as a percentage value (with no decimals) as %randomPercent%	当随机类型为 Next Float 时，会选取一个小数（最多 17 位小数精度）并以 %randomFloat% 添加到参数中，该数字还会以百分比值（无小数）的形式作为 %randomPercent% 添加
When random type is between, a number between the 2 values you set will be added into the arguments at %randomNumber%	当随机类型为 Between 时，会在你设置的两个值之间选取一个数字，并以 %randomNumber% 添加到参数中
When starting Streamer.bot, the Chat window will automatically open	启动 Streamer.bot 时，聊天窗口将自动打开
When starting Streamer.bot, the Event Feed window will automatically open	启动 Streamer.bot 时，事件流窗口将自动打开
Where to add a duplicated sub-action	在哪里添加复制的子动作
Whether or not shared chat will be able to participate in creating/breaking Pyramids	共享聊天是否能够参与创建/破坏金字塔
Whether or not the Action is enabled	动作是否启用
Whether or not the WebSocket server requires authentication to connect	WebSocket 服务器是否需要认证才能连接
Whether or not the command is case sensitive	命令是否区分大小写
Whether or not this action, when queued will always run, regardless if the queue is paused	此动作入队时是否始终运行，无论队列是否已暂停
Whether or not to exclude the action from appearing in the Action Queue or Action History pages	是否将动作从动作队列或动作历史页面中排除
Whether or not to ignore Gift Subs from Gift Bombs	是否忽略礼物炸弹中的礼物订阅
Whether or not to ignore messages that come from the logged in bot account for the service	是否忽略来自该服务已登录机器人账户的消息
Whether or not to ignore messages that originate from Streamer.bot	是否忽略源自 Streamer.bot 的消息
Whether or not to include the command in the command list sub-action	是否将命令包含在命令列表子动作中
Whether or not to include your authentication keys in the backup	是否在备份中包含你的认证密钥
Whether or not to log any speech to text dication	是否记录任何语音转文字听写
Whether or not to pick a random top level sub-actions to only run	是否仅随机挑选一个高级子动作来运行
Whether or not to save counters to disk	是否将计数器保存到磁盘
Whether or not to save user counters to disk	是否将用户计数器保存到磁盘
Whether or not to the switch case should be case sensitive	Switch Case 是否应区分大小写
Whether or not to use realtime data from Twitch, or artificial data	是否使用来自 Twitch 的实时数据，还是模拟数据
Whether or not top level sub-actions run concurrently	高级子动作是否并发运行
Whether to handle BetterTTV emotes	是否处理 BetterTTV 表情
Whether to handle FrankerFaceZ emotes	是否处理 FrankerFaceZ 表情
Whether to handle Seven TV emotes	是否处理 Seven TV 表情
White Balance	白平衡
White Balance Tint	白平衡色调
Why donate?	为什么要捐赠？
Will reset all delete confirmations so they are asked again when deleting items	将重置所有删除确认，删除项目时会再次询问
Will reset the integrations tab back to original	将把集成选项卡重置回原始状态
Will reset the navigation panel to default, a restart is required	将把导航面板重置为默认，需要重启
Window Options	窗口选项
Winning Index	中奖索引
Working Directory	工作目录
You are currently not subscribed to Patreon, subscribe on Patreon to the Thank You tier or higher and get access to Cloud Backups and more!	你目前尚未订阅 Patreon，请在 Patreon 上订阅“Thank You”等级或更高等级，即可获得云备份等更多功能！
You can add multiple Case groups under the Switch SubAction, and order matters.	你可以在 Switch 子动作下添加多个 Case 分组，顺序很重要。
You can either set a static description, and/or use variables to set a description.	你可以设置静态描述，和/或使用变量设置描述。
You can either set a static title, and/or use variables to set a title	你可以设置静态标题，和/或使用变量设置标题
You can either set a static title, and/or use variables to set a title.	你可以设置静态标题，和/或使用变量设置标题。
You can either set a static title/description, and/or use variables to set a title/description.	你可以设置静态标题/描述，和/或使用变量设置标题/描述。
You can enter a %variable% in either field, or a number.  The value is in milliseconds.	你可以在任一字段中输入 %variable% 或数字。单位为毫秒。
You can get the ButtonID from the StreamDeck Application, and Image/State supports variables. State is optional	你可以从 StreamDeck 应用获取 ButtonID，Image/State 支持变量。State 是可选的
You can get the ButtonID from the StreamDeck Application, and State supports variables.	你可以从 StreamDeck 应用获取 ButtonID，State 支持变量。
You can get the ButtonID from the StreamDeck Application, and Title/State supports variables.  State is optional.	你可以从 StreamDeck 应用获取 ButtonID，Title/State 支持变量。State 是可选的。
You can get the ButtonID from the StreamDeck Application, and Value supports variables.	你可以从 StreamDeck 应用获取 ButtonID，Value 支持变量。
You can get the ButtonID from the StreamDeck Application.	你可以从 StreamDeck 应用获取 ButtonID。
You can set the status of a redemption using this action, and the usual caveat, the reward must have been created by CPH for it to modify the status of redemptions.	你可以使用此动作设置兑换的状态。通常需要注意的是，该奖励必须由 CPH 创建，才能修改兑换的状态。
You can specify a default value to use if the variable is not found, if a default value is set, and the variable is not found, it will also set the variable to this value	你可以指定一个默认值，在变量未找到时使用；如果设置了默认值且变量未找到，它还会将变量设置为该值
You can use the above entry for variables, or set a specific category, change the Source to pick from Kick's category list	你可以将上面的条目用作变量，也可以设置特定类别，更改来源以从 Kick 的类别列表中选取
You can use the above entry for variables, or set a specific game, change the Source to pick from Twitch's list	你可以将上面的条目用作变量，也可以设置特定游戏，更改来源以从 Twitch 的列表中选取
You can use variable in the text, for example, %targetUser% to set the text to the target's name, if an Add Target Info action exists in the actions.	你可以在文本中使用变量，例如 %targetUser% 将文本设置为目标的名称，前提是动作中存在“添加目标信息”动作。
You can use variables in the source, for example %targetUserProfileImageUrl% if you want the browser source set to the target user's profile image, if an Add Target info action is in the actions.	你可以在来源中使用变量，例如 %targetUserProfileImageUrl% 可将浏览器源设置为目标用户的头像，前提是动作中存在“添加目标信息”动作。
You can use variables in the source, for example %targetUserProfileImageUrl% if you want the image or media source set to the target user's profile image, if an Add Target info action is in the actions.	你可以在来源中使用变量，例如 %targetUserProfileImageUrl% 可将图像或媒体源设置为目标用户的头像，前提是动作中存在“添加目标信息”动作。
You can use variables, or a fixed value, including nothing to set a description for the stream marker.	你可以使用变量或固定值（包括空值）来为直播标记设置描述。
YouTube Message	YouTube 消息
Your Kick account is linked on Streamer.bot	你的 Kick 账户已在 Streamer.bot 上关联
Your Kick connection on the website has expired, this is required, click here to reconnect	你的网站在 Kick 上的连接已过期，这是必需的，点击此处重新连接
Your YouTube broadcasts	你的 YouTube 直播
Your stream, your rules—made better with Streamer.bot	你的直播，你做主——用 Streamer.bot 做得更好
Your support helps keep Streamer.bot free for everyone, and shows your appreciation for the hard work that goes into maintaining and improving the application.	你的支持能让 Streamer.bot 继续对所有人免费，并表达你对维护和改进该应用所付出的辛勤工作的感谢。
Your support helps maintain continued development and ongoing improvements to Streamer.bot, ensuring it remains a powerful tool for streamers like you.	你的支持有助于 Streamer.bot 的持续开发和改进，确保它始终是像你这样主播的强大工具。
channel points	频道积分
on the	在
per Stream	每次直播
per User per Stream	每个用户每次直播
raids,	突袭，
seconds for exit	退出前的秒数
set to 0 to disable	设为 0 以禁用
tier or higher on Patreon.	或更高等级的 Patreon 会员。
total viewers	总观众数
website.	网站。
{0} ({1})	{0}（{1}）
{0} Supporter	{0} 支持者
{0} is NOT connected!	{0} 未连接！
{0} minute(s)	{0} 分钟
Change VoiceMod settings on the fly, or voices	即时修改 VoiceMod 设置或切换音色
Connect to enable Ko-fi, Patreon, FourthWall and more!	连接以启用 Ko-fi、Patreon、FourthWall 等更多功能！
Connect your Stream Deck for even more power!	连接你的 Stream Deck 以解锁更强大的功能！
Control your Elgato Camera or Prompter.	控制你的 Elgato 摄像头或提词器。
Control your Elgato Microphone.	控制你的 Elgato 麦克风。
Control your lights through LumiaStream, and receive events.	通过 LumiaStream 控制灯光，并接收事件。
Enable receving events from StreamElements.	启用从 StreamElements 接收事件。
Enable receving events from Streamlabs.	启用从 Streamlabs 接收事件。
Filter	筛选
Groups	分组
Integrate further with Speaker.bot.	与 Speaker.bot 进一步集成。
Platform	平台
Raids	突袭
React to events that happen in CrowdControl.	响应 CrowdControl 中发生的事件。
React to events, and trigger changes.	响应事件并触发变更。
React to viewers purchasing and using cards	响应观众购买和使用卡片的行为
React to your heart rate!	响应你的心率！
Real-time AR effects that work inside OBS, Streamlabs, and Zoom.	可在 OBS、Streamlabs 和 Zoom 中使用的实时 AR 特效。
Receive donation events.	接收捐赠事件。
Receive events when donations are received to your campaign!	当你的筹款活动收到捐赠时接收事件！
Receive events when someone sends you a treat!	当有人给你送小礼物时接收事件！
Receive events when tips are received.	收到打赏时接收事件。
Role	角色
Subscribed	已订阅
Take control of your avatar, receive events or control features.	控制你的虚拟形象，接收事件或控制功能。
Username	用户名
Backups	备份
Defaults	默认值
Labs	实验性功能
Variables	变量
