# english	ko-KR
%changeType% - The type of change (Changed, Created, Deleted)	%changeType% - 변경 유형(변경, 생성, 삭제)
%counter% - Global usage counter for reward	%counter% - 보상의 전역 사용 카운터
%empty% - If the file is now empty	%empty% - 파일이 비어 있는지 여부
%fileName% - The file name with extension	%fileName% - 확장자를 포함한 파일 이름
%fullPath% - The full path to the file	%fullPath% - 파일의 전체 경로
%line#% - The specifc line of the file, 0 based index, 0 is the first line	%line#% - 파일의 특정 줄(0 기반 인덱스, 0이 첫 줄)
%lineEscaped#% - The line escaped for use in a url query	%lineEscaped#% - URL 쿼리에 사용하기 위해 이스케이프된 줄
%lines% - The number of lines in the file	%lines% - 파일의 줄 수
%randomUser0% - Random active user's display name	%randomUser0% - 무작위 활성 사용자의 표시 이름
%randomUser1% - Random active user's display name	%randomUser1% - 무작위 활성 사용자의 표시 이름
%randomUserName0% - Random active user's login name	%randomUserName0% - 무작위 활성 사용자의 로그인 이름
%randomUserName1% - Random active user's login name	%randomUserName1% - 무작위 활성 사용자의 로그인 이름
%rawInput% - UNSANITIZED input from redemption	%rawInput% - 리뎀션에서 나온 비정화 입력
%timedoutUser0% - Timed out user's display name	%timedoutUser0% - 타임아웃된 사용자의 표시 이름
%timedoutUserName0% - Timed out user's login name	%timedoutUserName0% - 타임아웃된 사용자의 로그인 이름
%user% - Display name of User who used reward	%user% - 보상을 사용한 사용자의 표시 이름
%userCounter% - Usage counter for user who used reward	%userCounter% - 보상을 사용한 사용자의 사용 카운터
%userName% - Login of user who used reward	%userName% - 보상을 사용한 사용자의 로그인
Thank you to the following supporters on Patreon:	Patreon의 다음 서포터분들께 감사드립니다:
The Elgato CameraHub integration requires a minimum CameraHub version of 2.0.0.5721	Elgato CameraHub 통합에는 CameraHub 버전 2.0.0.5721 이상이 필요합니다
The Elgato WaveLink integration only supports WaveLink version 2.x, it will not work with 3.x	Elgato WaveLink 통합은 WaveLink 버전 2.x만 지원하며 3.x에서는 작동하지 않습니다
The UUID for this instance of Streamer.bot	이 Streamer.bot 인스턴스의 UUID
The clip ID can contain either a specific id for a clip, or a %variable% that will be parsed.  This can also only get URLs for your own clips.	클립 ID에는 특정 클립 ID 또는 구문 분석되는 %variable%를 지정할 수 있습니다. 또한 자신의 클립 URL만 가져올 수 있습니다.
The confidence the speech engine must have in its recognition	음성 엔진이 인식에 대해 가져야 하는 신뢰도
The core of Streamer.bot	Streamer.bot의 핵심
The count can contain a specific number, or a %variables% that will be parsed	수에는 특정 숫자 또는 구문 분석되는 %variables%를 지정할 수 있습니다
The current value of the sub counter	구독 카운터의 현재 값
The defacto standard for streaming	스트리밍의 사실상 표준
The default volume applied to the Play Sound sub-actions and C# methods	Play Sound 하위 액션 및 C# 메서드에 적용되는 기본 볼륨
The endpoint Speaker.bot uses, default is /	Speaker.bot이 사용하는 엔드포인트, 기본값은 /
The endpoint that the WebSocket server listens on	WebSocket 서버가 수신하는 엔드포인트
The field above must contain the %variable% that will contain the quote to be added.	위의 필드에는 추가될 인용이 포함될 %variable%가 포함되어야 합니다.
The file to write the sub-counter data to	구독 카운터 데이터를 쓸 파일
The folder to save backups to	백업을 저장할 폴더
The folder to write logs to	로그를 쓸 폴더
The global cooldown for the command	명령의 전역 쿨다운
The heart of Streamer.bot, Actions are what defines what can happen and when	Streamer.bot의 핵심, 액션은 무엇이 언제 발생하는지를 정의합니다
The locale to use for speech recognition	음성 인식에 사용할 로케일
The logging level being used, this is locked to verbose in non-stable versions	사용 중인 로그 수준, 비안정 버전에서는 verbose로 고정되어 있습니다
The minimum number of emotes required before starting to track a pyramid	피라미드 추적을 시작하기 전에 필요한 최소 이모티콘 수
The name of this Streamer.bot instance	이 Streamer.bot 인스턴스의 이름
The output template to use when writing to the file specified above	위에서 지정한 파일에 쓸 때 사용할 출력 템플릿
The password required for authentication	인증에 필요한 비밀번호
The pinned message will be updated to last until stream ends	고정 메시지가 방송 종료까지 유지되도록 업데이트됩니다
The slot can contain a number, typically between 1 and 6, or a %variable% that will be parsed.	슬롯에는 일반적으로 1~6 사이의 숫자 또는 구문 분석되는 %variable%를 지정할 수 있습니다.
The time interval can also be set to a random value within a range, this random value is updated everytime the action is run.	시간 간격은 범위 내의 무작위 값으로 설정할 수도 있으며, 이 무작위 값은 액션이 실행될 때마다 업데이트됩니다.
The user cooldown for the command	명령의 사용자 쿨다운
The user id can contain either a specific user's id, or a %variable% that will be parsed	사용자 ID에는 특정 사용자의 ID 또는 구문 분석되는 %variable%를 지정할 수 있습니다
The user login and group name can contain either a specific user's login, or a %variables% that will be parsed	사용자 로그인 및 그룹 이름에는 특정 사용자의 로그인 또는 구문 분석되는 %variables%를 지정할 수 있습니다
The user login can contain either a specific user's login, or a %variable% that will be parsed	사용자 로그인에는 특정 사용자의 로그인 또는 구문 분석되는 %variable%를 지정할 수 있습니다
The user login can contain either a specific user's login, or a %variable% that will be parsed.  Some examples of variables to use are: %broadcastUser%, %user%, %input0%	사용자 로그인에는 특정 사용자의 로그인 또는 구문 분석되는 %variable%를 지정할 수 있습니다. 사용할 변수의 예: %broadcastUser%, %user%, %input0%
The user login can contain either a specific user's login, or a %variable% that will be parsed.  Some examples of variables to use are: %user%, %targetUser%, %input0%	사용자 로그인에는 특정 사용자의 로그인 또는 구문 분석되는 %variable%를 지정할 수 있습니다. 사용할 변수의 예: %user%, %targetUser%, %input0%
The user login can contain either a specific user's login, or a %variables% that will be parsed	사용자 로그인에는 특정 사용자의 로그인 또는 구문 분석되는 %variables%를 지정할 수 있습니다
There is an update available!	사용 가능한 업데이트가 있습니다!
There was an error trying to initialize WebView	WebView 초기화 중 오류가 발생했습니다
This Instance	이 인스턴스
This SubAction will allow you to set the value of an argument.  These are the %variables% you use in other SubActions	이 하위 액션은 인수의 값을 설정할 수 있습니다. 이는 다른 하위 액션에서 사용하는 %variables%입니다
This SubAction will let you get a global variable and add it to the arguments that are passed along to other SubActions	이 하위 액션은 전역 변수를 가져와 다른 하위 액션에 전달되는 인수에 추가합니다
This SubAction will set the value of either an argument to the value, or a global variable from an argument, or to the value specified	이 하위 액션은 인수의 값을 설정하거나, 인수에서 전역 변수를 설정하거나, 지정된 값으로 설정합니다
This feature is very experimental, and I need feedback on it, for options, capabilities, etc.	이 기능은 매우 실험적이며 옵션, 기능 등에 대한 피드백이 필요합니다.
This labs feature will, on close, write to a database any outstanding pending actions, pending actions are actions that have not yet run, and are waiting to run, either because they're in a blocking queue, or a queue that is paused.	이 랩 기능은 닫을 때 미해결 대기 액션을 데이터베이스에 기록합니다. 대기 액션은 아직 실행되지 않았고, 차단 큐 또는 일시 중지된 큐에 있기 때문에 실행을 기다리는 액션입니다.
This requires the Enable MCP Deck to be checked in your Stream Deck preferences.	이 기능을 사용하려면 Stream Deck 환경설정에서 Enable MCP Deck이 체크되어 있어야 합니다.
This sub-action requires the `Hybrid MP4 [BETA](.mp4)` recording format to be selected within OBS.	이 하위 액션은 OBS 내에서 `Hybrid MP4 [BETA](.mp4)` 녹화 형식이 선택되어 있어야 합니다.
This will allow you to start a raid to the user login that is specified in the above text box. Variables are supported.	위의 텍스트 상자에 지정된 사용자 로그인으로 레이드를 시작할 수 있습니다. 변수를 지원합니다.
This will hide all filters for a given source that are currently visible.	지정된 소스의 현재 표시된 모든 필터를 숨깁니다.
This will hide all sources within a group that are currently visible.	그룹 내 현재 표시된 모든 소스를 숨깁니다.
This will hide all sources within a scene that are currently visible.	장면 내 현재 표시된 모든 소스를 숨깁니다.
This will make the scene your active scene in OBS Studio	이 장면을 OBS Studio의 활성 장면으로 만듭니다
This will make the scene your active scene in Streamlabs Desktop	이 장면을 Streamlabs Desktop의 활성 장면으로 만듭니다
This will only show Execute C# Code subactions that have a name.	이름이 있는 Execute C# Code 하위 액션만 표시합니다.
This will pick a random filter within the selected source and make it visible or hidden, or toggle its state.	선택한 소스 내에서 무작위 필터를 선택하여 표시/숨기거나 상태를 전환합니다.
This will pick a random source within the selected group and make it visible, if all items are visible, it will do nothing.	선택한 그룹 내에서 무작위 소스를 선택하여 표시합니다. 모든 항목이 표시되어 있으면 아무것도 하지 않습니다.
This will pick a random source within the selected scene and make it visible, if all items are visible, it will do nothing.	선택한 장면 내에서 무작위 소스를 선택하여 표시합니다. 모든 항목이 표시되어 있으면 아무것도 하지 않습니다.
This will prevent the Variable Viewer window from appearing in any form of window/screen capturing	변수 뷰어 창이 어떤 형태의 창/화면 캡처에도 나타나지 않도록 방지합니다
This will rotate your source around its alignment position.  By default OBS sets this to TopLeft, ideally you want this set to Center, this can be changed by editing your source's transform in OBS	소스를 정렬 위치를 중심으로 회전합니다. 기본적으로 OBS는 TopLeft로 설정하지만 이상적으로는 Center로 설정하는 것이 좋습니다. OBS에서 소스의 변형을 편집하여 변경할 수 있습니다
This will rotate your source around its alignment position.  By default this is TopLeft, ideally you want this set to Center, this can be changed by editing your source's transform in Streamlabs Desktop	소스를 정렬 위치를 중심으로 회전합니다. 기본적으로 TopLeft이지만 이상적으로는 Center로 설정하는 것이 좋습니다. Streamlabs Desktop에서 소스의 변형을 편집하여 변경할 수 있습니다
Throwing System	Throwing System
Time in Seconds (double, required)	시간(초, double, 필수)
Timed Actions ({0})	타이머 액션({0})
Timed actions can have either an interval set, where they will occur every X seconds, or a line count set, where they will occur every Y lines.	타이머 액션은 X초마다 발생하는 간격 또는 Y줄마다 발생하는 줄 수를 설정할 수 있습니다.
Timeout Exempt	타임아웃 면제
Tint All	모두 색조 적용
Title (required)	제목(필수)
Title, Prompt and Original Text all support variables.	제목, 프롬프트 및 원본 텍스트는 모두 변수를 지원합니다.
To not set a value for any of the options,, just leave the field empty	옵션에 값을 설정하지 않으려면 필드를 비워 두세요
Toast Id	토스트 ID
Track Top	상위 추적
Trigger	트리거
Trigger Name	트리거 이름
Twitch Bot Whisper	Twitch 봇 위스퍼
Twitch Custom Power-Ups are a beta feature that not everyone has access to.	Twitch 사용자 지정 파워업은 모든 사람이 사용할 수 없는 베타 기능입니다.
Twitch Message	Twitch 메시지
Twitch Resubscription Message	Twitch 재구독 메시지
Twitch Shared Chat	Twitch 공유 채팅
Twitch Whisper	Twitch 위스퍼
Twitch is not Connected	Twitch가 연결되지 않았습니다
Type	유형
UCD	UCD
UDP Port	UDP 포트
UDP Server	UDP 서버
Until stream ends	방송 종료까지
Up to Date	최신 상태
Update All Actions To Use Default	모든 액션을 기본값 사용으로 업데이트
Update Available	업데이트 사용 가능
Update Available!	업데이트 사용 가능!
Update Interval	업데이트 간격
Updating your YouTube stream information is an expensive call, please use this sparingly.	YouTube 스트림 정보 업데이트는 비용이 많이 드는 호출입니다. 아껴서 사용하세요.
Use Args	인수 사용
Use Filename	파일 이름 사용
Use Monaco Editor	Monaco 편집기 사용
Use System Default	시스템 기본값 사용
Use the System Default audio device when the selected device above is not found	위에서 선택한 장치를 찾을 수 없으면 시스템 기본 오디오 장치를 사용
Use the feature rich Monaco Editor for editing your C# code	C# 코드 편집에는 기능이 풍부한 Monaco 편집기를 사용하세요
Use the variable that contains the Id, for example %msgId%	Id를 포함하는 변수를 사용하세요. 예: %msgId%
User Cooldown	사용자 쿨다운
User ID	사용자 ID
User Id	사용자 ID
User Information	사용자 정보
User Input Required	사용자 입력 필요
User Interface	사용자 인터페이스
User Login	사용자 로그인
User Name	사용자 이름
User Present (spoke)	사용자 참석(발언)
Username	사용자 이름
Using this you can send a UDP broadcast packet which will contain the data you enter in payload.	이것을 사용하면 페이로드에 입력한 데이터가 포함된 UDP 브로드캐스트 패킷을 보낼 수 있습니다.
VTube Studio is Not Connected!	VTube Studio가 연결되지 않았습니다!
Value	값
Variable Masking	변수 마스킹
Variable Name	변수 이름
Variable Name or Value can be a fixed value, or a parsed value, using variables and/or inline functions	변수 이름 또는 값은 고정 값이거나 변수 및/또는 인라인 함수를 사용한 구문 분석 값일 수 있습니다
Variable Name to Use (if empty, fileExists is used)	사용할 변수 이름(비어 있으면 fileExists가 사용됨)
Variable Name to Use (if empty, folderExists is used)	사용할 변수 이름(비어 있으면 folderExists가 사용됨)
Variable Name to Use (if empty, line is used)	사용할 변수 이름(비어 있으면 line이 사용됨)
Variable Prefix	변수 접두사
Variable Value	변수 값
Variables	변수
Variables that contain these words will have their values masked with * in the following areas:	이 단어를 포함하는 변수의 값은 다음 영역에서 *로 마스킹됩니다:
Vendor Name	공급업체 이름
Video Enabled (boolean)	비디오 활성화(부울)
Video Name	비디오 이름
Video Name can be a fixed value or a parsed value using variables and/or inline functions.	비디오 이름은 고정 값이거나 변수 및/또는 인라인 함수를 사용한 구문 분석 값일 수 있습니다.
View Count	조회 수
View Notes	메모 보기
View a list of what Voice Control has been hearing	음성 제어가 들은 내용 목록 보기
View and modify your streaming platform settings	스트리밍 플랫폼 설정 보기 및 수정
Viewers	시청자
Viewers Tab	시청자 탭
Voice Alias	음성 별칭
Voice Control	음성 제어
Voice Control related settings	음성 제어 관련 설정
Voice ID	음성 ID
Voice Name	음성 이름
Voice Name can be a fixed value or a parsed value using variables and/or inline functions.	음성 이름은 고정 값이거나 변수 및/또는 인라인 함수를 사용한 구문 분석 값일 수 있습니다.
VoiceId can be a fixed value or a parsed value using variables and/or inline functions.	VoiceId는 고정 값이거나 변수 및/또는 인라인 함수를 사용한 구문 분석 값일 수 있습니다.
VoiceMod is Not Connected!	VoiceMod가 연결되지 않았습니다!
Volume (number)	볼륨(숫자)
Wait maximum	최대 대기
Want to try out experimental features, can enable them here	실험적인 기능을 시험해 보고 싶다면 여기에서 활성화할 수 있습니다
WebSocket Server	WebSocket 서버
Websocket Client	WebSocket 클라이언트
Websocket Clients	WebSocket 클라이언트
Websocket Clients ({0})	WebSocket 클라이언트({0})
Websocket Server	WebSocket 서버
Websocket Servers ({0})	WebSocket 서버({0})
Weight can be a fixed value, or a parsed value, using variables and/or inline functions, and the resulting value needs to be a double or number	가중치는 고정 값이거나 변수 및/또는 인라인 함수를 사용한 구문 분석 값일 수 있으며, 결과 값은 double 또는 숫자여야 합니다
Weighted Value	가중 값
Wether or not to enforce authentication for all requests, or just priviledged	모든 요청에 인증을 적용할지, 아니면 특권 요청에만 적용할지
What sources are enabled by default	기본적으로 활성화되는 소스
When Streamer.bot is started, if this cache file is present, it will auto load in any actions that have been cached, as well as pause the queue that they belong to. In addition, an argument will be added, wasCached, this will be set to true; during normal operation, this variable will not exist.	Streamer.bot이 시작될 때 이 캐시 파일이 있으면 캐시된 모든 액션을 자동으로 로드하고 해당 큐를 일시 중지합니다. 또한 wasCached 인수가 추가되어 true로 설정됩니다. 정상 작동 중에는 이 변수가 존재하지 않습니다.
When a Live broadcast is detected automatically start monitoring it	라이브 방송이 감지되면 자동으로 모니터링 시작
When adding an If/Else SubAction, two groups, called True Result and False Result, will automatically be added underneath the SubAction.	If/Else 하위 액션을 추가하면 True Result 및 False Result라는 두 그룹이 하위 액션 아래에 자동으로 추가됩니다.
When closing Streamer.bot, ask if you really meant to close it	Streamer.bot을 닫을 때 정말로 닫을 것인지 확인
When closing Streamer.bot, it will goto the Tray Icons, using close in the Tray Menu will close Streamer.bot	Streamer.bot을 닫으면 트레이 아이콘으로 이동합니다. 트레이 메뉴에서 닫기를 사용하면 Streamer.bot이 종료됩니다
When enabled, actions in this queue will be run in sequence, each action waits for the previous one to complete before running.	활성화하면 이 큐의 액션이 순서대로 실행되며, 각 액션은 이전 액션이 완료될 때까지 기다렸다가 실행됩니다.
When enabled, if queued in a queue that is paused, this action will ignore that pause state and immediately run.	활성화하면 일시 중지된 큐에 대기 중이어도 이 액션은 일시 중지 상태를 무시하고 즉시 실행됩니다.
When enabled, will prevent this action from showing in the Action Queue Pending/History tabs, this should be enabled for Actions that have high volume Triggers on them.	활성화하면 이 액션이 액션 큐 대기/기록 탭에 표시되지 않습니다. 트리거가 많은 액션에서는 활성화해야 합니다.
When enabled, will run a random top-level sub-action.	활성화하면 무작위 최상위 하위 액션을 실행합니다.
When enabled, will run all top-level sub-actions at the same time.	활성화하면 모든 최상위 하위 액션을 동시에 실행합니다.
When minimizing Streamer.bot, it will goto the Tray Icons	Streamer.bot을 최소화하면 트레이 아이콘으로 이동합니다
When random type is Next Float, a decimal number (upto 17 decimal precision) will be picked and added to the arguments as %randomFloat%, this number will also be added as a percentage value (with no decimals) as %randomPercent%	무작위 유형이 Next Float이면 소수(최대 17자리 정밀도)가 선택되어 %randomFloat%로 인수에 추가되며, 이 숫자는 %randomPercent%로 백분율 값(소수 없음)에도 추가됩니다
When random type is between, a number between the 2 values you set will be added into the arguments at %randomNumber%	무작위 유형이 between이면 설정한 두 값 사이의 숫자가 %randomNumber%로 인수에 추가됩니다
When starting Streamer.bot, the Chat window will automatically open	Streamer.bot을 시작하면 채팅 창이 자동으로 열립니다
When starting Streamer.bot, the Event Feed window will automatically open	Streamer.bot을 시작하면 이벤트 피드 창이 자동으로 열립니다
Where to add a duplicated sub-action	중복된 하위 액션을 추가할 위치
Whether or not shared chat will be able to participate in creating/breaking Pyramids	공유 채팅이 피라미드 생성/파괴에 참여할 수 있는지 여부
Whether or not the Action is enabled	액션이 활성화되어 있는지 여부
Whether or not the WebSocket server requires authentication to connect	WebSocket 서버가 연결에 인증을 요구하는지 여부
Whether or not the command is case sensitive	명령이 대소문자를 구분하는지 여부
Whether or not this action, when queued will always run, regardless if the queue is paused	이 액션이 큐에 대기 중일 때 큐가 일시 중지되어도 항상 실행되는지 여부
Whether or not to exclude the action from appearing in the Action Queue or Action History pages	액션 큐 또는 액션 기록 페이지에 액션이 표시되지 않도록 제외할지 여부
Whether or not to ignore Gift Subs from Gift Bombs	기프트 폭탄의 기프트 구독을 무시할지 여부
Whether or not to ignore messages that come from the logged in bot account for the service	서비스에 로그인된 봇 계정에서 온 메시지를 무시할지 여부
Whether or not to ignore messages that originate from Streamer.bot	Streamer.bot에서 시작된 메시지를 무시할지 여부
Whether or not to include the command in the command list sub-action	명령 목록 하위 액션에 명령을 포함할지 여부
Whether or not to include your authentication keys in the backup	백업에 인증 키를 포함할지 여부
Whether or not to log any speech to text dication	음성 인식 받아쓰기를 기록할지 여부
Whether or not to pick a random top level sub-actions to only run	무작위 최상위 하위 액션 하나만 실행할지 여부
Whether or not to save counters to disk	카운터를 디스크에 저장할지 여부
Whether or not to save user counters to disk	사용자 카운터를 디스크에 저장할지 여부
Whether or not to the switch case should be case sensitive	스위치 케이스가 대소문자를 구분해야 하는지 여부
Whether or not to use realtime data from Twitch, or artificial data	Twitch의 실시간 데이터를 사용할지, 인공 데이터를 사용할지 여부
Whether or not top level sub-actions run concurrently	최상위 하위 액션이 동시에 실행되는지 여부
Whether to handle BetterTTV emotes	BetterTTV 이모티콘을 처리할지 여부
Whether to handle FrankerFaceZ emotes	FrankerFaceZ 이모티콘을 처리할지 여부
Whether to handle Seven TV emotes	Seven TV 이모티콘을 처리할지 여부
White Balance	화이트 밸런스
White Balance Tint	화이트 밸런스 색조
Why donate?	왜 기부하나요?
Will reset all delete confirmations so they are asked again when deleting items	모든 삭제 확인을 재설정하여 항목 삭제 시 다시 확인하도록 합니다
Will reset the integrations tab back to original	통합 탭을 원래대로 재설정합니다
Will reset the navigation panel to default, a restart is required	탐색 패널을 기본값으로 재설정합니다. 재시작이 필요합니다
Window Options	창 옵션
Winning Index	승리 인덱스
Working Directory	작업 디렉터리
You are currently not subscribed to Patreon, subscribe on Patreon to the Thank You tier or higher and get access to Cloud Backups and more!	현재 Patreon에 구독하지 않았습니다. Patreon에서 Thank You 티어 이상에 구독하면 클라우드 백업 등에 액세스할 수 있습니다!
You can add multiple Case groups under the Switch SubAction, and order matters.	Switch 하위 액션 아래에 여러 Case 그룹을 추가할 수 있으며 순서가 중요합니다.
You can either set a static description, and/or use variables to set a description.	정적 설명을 설정하거나 변수를 사용하여 설명을 설정할 수 있습니다.
You can either set a static title, and/or use variables to set a title	정적 제목을 설정하거나 변수를 사용하여 제목을 설정할 수 있습니다
You can either set a static title, and/or use variables to set a title.	정적 제목을 설정하거나 변수를 사용하여 제목을 설정할 수 있습니다.
You can either set a static title/description, and/or use variables to set a title/description.	정적 제목/설명을 설정하거나 변수를 사용하여 제목/설명을 설정할 수 있습니다.
You can enter a %variable% in either field, or a number.  The value is in milliseconds.	두 필드 중 하나에 %variable% 또는 숫자를 입력할 수 있습니다. 값은 밀리초입니다.
You can get the ButtonID from the StreamDeck Application, and Image/State supports variables. State is optional	ButtonID는 StreamDeck 앱에서 가져올 수 있으며, Image/State는 변수를 지원합니다. State는 선택 사항입니다
You can get the ButtonID from the StreamDeck Application, and State supports variables.	ButtonID는 StreamDeck 앱에서 가져올 수 있으며, State는 변수를 지원합니다.
You can get the ButtonID from the StreamDeck Application, and Title/State supports variables.  State is optional.	ButtonID는 StreamDeck 앱에서 가져올 수 있으며, Title/State는 변수를 지원합니다. State는 선택 사항입니다.
You can get the ButtonID from the StreamDeck Application, and Value supports variables.	ButtonID는 StreamDeck 앱에서 가져올 수 있으며, Value는 변수를 지원합니다.
You can get the ButtonID from the StreamDeck Application.	ButtonID는 StreamDeck 앱에서 가져올 수 있습니다.
You can set the status of a redemption using this action, and the usual caveat, the reward must have been created by CPH for it to modify the status of redemptions.	이 액션으로 리뎀션의 상태를 설정할 수 있습니다. 평소와 같은 주의사항으로, 리뎀션 상태를 수정하려면 보상이 CPH에 의해 생성되어야 합니다.
You can specify a default value to use if the variable is not found, if a default value is set, and the variable is not found, it will also set the variable to this value	변수를 찾을 수 없을 때 사용할 기본값을 지정할 수 있습니다. 기본값이 설정되고 변수를 찾을 수 없으면 변수도 이 값으로 설정됩니다
You can use the above entry for variables, or set a specific category, change the Source to pick from Kick's category list	위의 항목을 변수에 사용하거나 특정 카테고리를 설정하여 Source를 Kick의 카테고리 목록에서 선택하도록 변경할 수 있습니다
You can use the above entry for variables, or set a specific game, change the Source to pick from Twitch's list	위의 항목을 변수에 사용하거나 특정 게임을 설정하여 Source를 Twitch의 목록에서 선택하도록 변경할 수 있습니다
You can use variable in the text, for example, %targetUser% to set the text to the target's name, if an Add Target Info action exists in the actions.	텍스트에 변수를 사용할 수 있습니다. 예를 들어 %targetUser%로 텍스트를 대상의 이름으로 설정합니다. 액션에 Add Target Info 액션이 있는 경우입니다.
You can use variables in the source, for example %targetUserProfileImageUrl% if you want the browser source set to the target user's profile image, if an Add Target info action is in the actions.	소스에 변수를 사용할 수 있습니다. 예를 들어 %targetUserProfileImageUrl%로 브라우저 소스를 대상 사용자의 프로필 이미지로 설정합니다. 액션에 Add Target info 액션이 있는 경우입니다.
You can use variables in the source, for example %targetUserProfileImageUrl% if you want the image or media source set to the target user's profile image, if an Add Target info action is in the actions.	소스에 변수를 사용할 수 있습니다. 예를 들어 %targetUserProfileImageUrl%로 이미지 또는 미디어 소스를 대상 사용자의 프로필 이미지로 설정합니다. 액션에 Add Target info 액션이 있는 경우입니다.
You can use variables, or a fixed value, including nothing to set a description for the stream marker.	변수 또는 고정 값을 사용하여 스트림 마커에 대한 설명을 설정할 수 있습니다(없음 포함).
YouTube Message	YouTube 메시지
Your Kick account is linked on Streamer.bot	Kick 계정이 Streamer.bot에 연결되어 있습니다
Your Kick connection on the website has expired, this is required, click here to reconnect	웹사이트의 Kick 연결이 만료되었습니다. 필수입니다. 재연결하려면 여기를 클릭하세요
Your YouTube broadcasts	당신의 YouTube 방송
Your stream, your rules—made better with Streamer.bot	당신의 스트림, 당신의 규칙—Streamer.bot으로 더 좋게
Your support helps keep Streamer.bot free for everyone, and shows your appreciation for the hard work that goes into maintaining and improving the application.	당신의 지원은 Streamer.bot을 모든 사람에게 무료로 제공하는 데 도움이 되며, 앱 유지 및 개선에 쏟아지는 노력에 대한 감사를 보여줍니다.
Your support helps maintain continued development and ongoing improvements to Streamer.bot, ensuring it remains a powerful tool for streamers like you.	당신의 지원은 Streamer.bot의 지속적인 개발과 개선을 유지하여, 당신과 같은 스트리머에게 강력한 도구로 남도록 보장합니다.
channel points	채널 포인트
on the	다음에서:
per Stream	방송당
per User per Stream	사용자·방송당
raids,	레이드,
seconds for exit	종료까지의 초
set to 0 to disable	0으로 설정하면 비활성화
tier or higher on Patreon.	Patreon의 해당 티어 이상.
total viewers	총 시청자 수
website.	웹사이트.
{0} ({1})	{0}({1})
{0} Supporter	{0} 서포터
{0} is NOT connected!	{0}이(가) 연결되지 않았습니다!
{0} minute(s)	{0}분
